Sluggers , Keston Hiura , 20200309 , 94.92778316600698
Sluggers , Keston Hiura , 20200620 , 98.0295566502463
Sluggers , Keston Hiura , 20200709 , 97.2297910990009
Sluggers , Keston Hiura , 20200604 , 98.3625730994152
Sluggers , Keston Hiura , 20200407 , 97.79440724694761
Sluggers , Keston Hiura , 20200315 , 95.27046604408585
Sluggers , Keston Hiura , 20200706 , 96.85194294146582
Sluggers , Keston Hiura , 20200426 , 98.28382838283828
Sluggers , Keston Hiura , 20200416 , 98.30159547092126
Sluggers , Keston Hiura , 20200320 , 95.45557360531348
Sluggers , Keston Hiura , 20200207 , 93.75894646435728
Sluggers , Keston Hiura , 20200508 , 97.78534923339012
Sluggers , Keston Hiura , 20200528 , 98.02904564315352
Sluggers , Keston Hiura , 20200217 , 93.76455368693402
Sluggers , Keston Hiura , 20200319 , 95.404143565801
Sluggers , Keston Hiura , 20200413 , 97.77347531461761
Sluggers , Keston Hiura , 20200216 , 93.71306857221381
Sluggers , Keston Hiura , 20200417 , 98.24840764331209
Sluggers , Keston Hiura , 20200614 , 99.0358126721763
Sluggers , Keston Hiura , 20200228 , 94.4801842585974
Sluggers , Keston Hiura , 20200324 , 95.71420578526269
Sluggers , Keston Hiura , 20200420 , 98.26989619377161
Sluggers , Keston Hiura , 20200219 , 93.99693360066045
Sluggers , Keston Hiura , 20200316 , 95.35050382209867
Sluggers , Keston Hiura , 20200218 , 93.90913013994205
Sluggers , Keston Hiura , 20200311 , 94.97184332373921
Sluggers , Keston Hiura , 20200229 , 94.5153448799757
Sluggers , Keston Hiura , 20200302 , 94.5483458360701
Sluggers , Keston Hiura , 20200312 , 95.03587640943037
Sluggers , Keston Hiura , 20200522 , 97.29990356798457
Sluggers , Keston Hiura , 20200415 , 98.26043737574552
Sluggers , Keston Hiura , 20200307 , 94.73515622725023
Sluggers , Keston Hiura , 20200421 , 98.15585960737656
Sluggers , Keston Hiura , 20200509 , 97.88602941176471
Sluggers , Keston Hiura , 20200212 , 93.62096347273689
Sluggers , Keston Hiura , 20200226 , 94.39164713402941
Sluggers , Keston Hiura , 20200526 , 97.60717846460618
Sluggers , Keston Hiura , 20200602 , 98.76126126126125
Sluggers , Keston Hiura , 20200223 , 94.30715548969934
Sluggers , Keston Hiura , 20200225 , 94.34776862416847
Sluggers , Keston Hiura , 20200423 , 97.9066985645933
Sluggers , Keston Hiura , 20200429 , 98.43971631205673
Sluggers , Keston Hiura , 20200504 , 98.5634477254589
Sluggers , Keston Hiura , 20200527 , 97.37373737373738
Sluggers , Keston Hiura , 20200619 , 98.18481848184818
Sluggers , Keston Hiura , 20200623 , 98.13874788494078
Sluggers , Keston Hiura , 20200512 , 97.62583095916429
Sluggers , Keston Hiura , 20200221 , 94.14982036570325
Sluggers , Keston Hiura , 20200603 , 98.56801909307876
Sluggers , Keston Hiura , 20200321 , 95.49191036076776
Sluggers , Keston Hiura , 20200418 , 98.10708491076258
Sluggers , Keston Hiura , 20200618 , 98.25949367088607
Sluggers , Aaron Nola , 20200702 , 99.62406015037594
Sluggers , Aaron Nola , 20200405 , 99.48998178506375
Sluggers , Aaron Nola , 20200519 , 99.90138067061145
Sluggers , Aaron Nola , 20200409 , 99.61089494163424
